episode_id	title	year	type	description
1	…und der Super-Papagei	1979	regular	Die drei Detektive übernehmen ihren ersten Fall rund um einen sprechenden Papagei und einen verschwundenen Erfinder.
2	…und der Phantomsee	1979	regular	Ein angeblich verfluchter See und ein geheimnisvolles Phantom führen zu einem komplexen Betrugsfall.
3	…und der Karpatenhund	1979	regular	Ein furchteinflößender Hund sorgt für Angst – doch hinter dem Spuk steckt ein handfester Plan.
4	…und der grüne Geist	1979	regular	Ein leuchtender Geist spukt in einem Haus und schützt offenbar ein verborgenes Geheimnis.
5	…und der Fluch des Rubins	1980	regular	Ein wertvoller Rubin bringt Unglück über seine Besitzer – oder ist alles nur Inszenierung?
6	…und der sprechende Totenkopf	1980	regular	Ein sprechender Totenkopf gibt Rätsel auf und führt die Detektive auf die Spur eines Diebes.
7	…und der unheimliche Drache	1980	regular	Ein feuerspeiender Drache versetzt eine Kleinstadt in Angst und Schrecken.
8	…und die schwarze Katze	1980	regular	Eine schwarze Katze scheint mit einer Serie von Einbrüchen in Verbindung zu stehen.
9	…und die rätselhaften Bilder	1980	regular	Bilder verändern scheinbar ihr Motiv und führen zu einem Kunstraub.
10	…und die flüsternde Mumie	1981	regular	Eine Mumie scheint zu sprechen und warnt vor drohender Gefahr.
11	…und das Gespensterschloss	1981	regular	In einem alten Schloss geschehen unheimliche Dinge, die Touristen fernhalten sollen.
12	…und der seltsame Wecker	1981	regular	Ein alter Wecker spielt eine zentrale Rolle in einem lange ungeklärten Fall.
13	…und der lachende Schatten	1981	regular	Ein geheimnisvoller Schatten mit unheimlichem Lachen versetzt Menschen in Angst.
14	…und das Bergmonster	1981	regular	Ein angebliches Monster in den Bergen bedroht ein ganzes Dorf.
15	…und der rasende Löwe	1982	regular	Ein entflohener Löwe sorgt für Panik – oder ist alles nur Täuschung?
16	…und der Zauberspiegel	1982	regular	Ein Spiegel soll magische Kräfte besitzen und die Zukunft zeigen.
17	…und die gefährliche Erbschaft	1982	regular	Eine Erbschaft bringt unerwartete Gefahren und kriminelle Machenschaften mit sich.
18	…und die Geisterinsel	1982	regular	Auf einer abgelegenen Insel treiben angeblich Geister ihr Unwesen.
19	…und der Teufelsberg	1982	regular	Mysteriöse Vorgänge auf einem Berg werfen viele Fragen auf.
20	…und die flammende Spur	1982	regular	Eine Spur aus Feuer führt zu einem raffinierten Verbrechen.
21	…und der tanzende Teufel	1983	regular	Eine teuflische Gestalt erscheint immer wieder und sorgt für Angst.
22	…und der verschwundene Schatz	1983	regular	Ein lange gesuchter Schatz ist plötzlich spurlos verschwunden.
23	…und das Aztekenschwert	1983	regular	Ein wertvolles Schwert aus der Aztekenzeit gerät ins Visier von Dieben.
24	…und die silberne Spinne	1983	regular	Eine silberne Spinne ist das Erkennungszeichen eines mysteriösen Täters.
25	…und die singende Schlange	1983	regular	Eine Schlange scheint Hinweise zu geben und führt zu einem versteckten Schatz.
26	…und die Silbermine	1984	regular	In einer stillgelegten Mine geschehen seltsame und gefährliche Dinge.
27	…und der magische Kreis	1984	regular	Ein Kreis soll übernatürliche Kräfte besitzen und wird missbraucht.
28	…und der Doppelgänger	1984	regular	Ein Mann taucht doppelt auf und verwirrt Zeugen und Ermittler.
29	…und die Originalausgabe	1984	regular	Eine seltene Buchausgabe wird gestohlen und weiterverkauft.
30	…und das Riff der Haie	1984	regular	Ein gefährliches Riff verbirgt ein kriminelles Geheimnis.
31	…und das Narbengesicht	1985	regular	Ein Mann mit auffälligen Narben spielt eine zentrale Rolle in einem Erpressungsfall.
32	…und der Ameisenmensch	1985	regular	Ein angeblicher Ameisenmensch treibt nachts sein Unwesen.
33	…und die bedrohte Ranch	1985	regular	Eine Ranch wird durch Sabotage und Einschüchterung bedroht.
34	…und der rote Rächer	1985	regular	Eine maskierte Gestalt übt scheinbar Selbstjustiz.
35	…und der Höhlenmensch	1985	regular	Ein prähistorisch wirkender Mensch wird gesichtet und sorgt für Aufregung.
36	…und der Super-Wal	1986	regular	Ein riesiger Wal steht im Mittelpunkt eines Umweltverbrechens.
